reward,steps
-534.961059867,199
-555.44628302,199
-519.557489852,199
-531.967824159,199
-548,199
-454.747000843,199
-191.067701747,134
-296.062137535,167
-182.593400465,170
-132.666762651,152
-72.3565258755,87
-74.6071472383,103
-139.217907303,148
-67.8408102404,88
-139.253134858,151
-128.856617036,158
-133.131787838,154
-70.8490899228,85
-67.5075014609,88
-68.5635069309,94
-67.4882425305,88
-129.874548124,152
-133.768595113,160
-129.784460454,149
-66.9853706798,84
-68.2982243147,92
-129.701719963,146
-72.5273044827,89
-143.942288546,152
-68.9112243815,95
-67.633438967,89
-71.5594068633,87
-125.192995869,156
-69.1918400743,97
-68.3906782688,93
-129.860297654,151
-129.907482689,147
-74.9645318136,86
-126.031153401,147
-70.6492848301,84
-67.6587971294,89
-130.420393045,156
-134.926899766,147
-75.4614693822,109
-138.565035097,149
-71.7918282232,87
-125.159577365,150
-70.857215347,87
-69.8204150045,98
-128.48453544,154
