reward,steps
-537.032547536,199
-555.450758096,199
-544.587536751,199
-463.942590427,199
-522.505063659,199
-518.94121789,199
-169.653484993,122
-458.430714377,199
-489.262540631,199
-190.442836975,135
-115.656175507,121
-74.1204167522,85
-157.524683064,163
-71.4897641732,84
-69.4112400113,98
-98.0249315428,112
-68.3822549326,93
-104.290988213,116
-96.9157514766,111
-104.458370899,113
-73.6423636986,95
-131.533174741,160
-112.739747331,117
-106.998681267,119
-102.766217292,112
-71.8822386257,88
-68.0561812867,91
-102.556134846,115
-74.3742885612,101
-68.325387672,92
-67.6959237849,85
-66.9653087842,84
-105.075865842,117
-101.425708168,111
-68.1740256921,89
-69.6378699357,97
-67.4894101159,88
-104.178326999,113
-103.38789786,119
-132.196168759,149
-68.2804079829,90
-101.291719235,114
-67.6642467346,87
-97.9133848199,112
-95.3361268466,110
-96.3797516652,111
-74.2821747691,97
-143.932208439,159
-101.136702632,114
-96.8515274687,111
