reward,steps
-529.501315837,199
-535.632523631,199
-495.108334999,199
-568,199
-591.758239411,199
-534.882859745,199
-505.728208684,199
-408.664699073,199
-118.361028305,113
-136.804313014,119
-119.538217147,121
-68.3115379191,88
-177.732448544,179
-75.1987526806,87
-128.518277783,155
-69.2528519605,97
-76.0881847888,92
-70.5016011253,84
-67.546250286,88
-125.544224226,151
-98.2223469614,112
-129.127026456,151
-72.7136990002,95
-95.3493289427,110
-124.234627704,160
-67.7937609719,88
-125.754874813,151
-137.743100978,149
-133.356837489,150
-125.45834136,147
-129.045938669,148
-125.394384601,149
-129.521779835,153
-125.201806778,147
-129.289092698,149
-129.5252697,146
-124.123917838,156
-134.120422348,149
-74.0684831415,106
-71.6144271991,113
-129.445439497,157
-133.616064023,161
-71.0260284099,109
-129.140506317,160
-130.285589019,153
-130.33338771,158
-73.4235854945,99
-125.198873995,167
-70.6654561716,85
-130.043287614,147
