reward,steps
-530.40033793,199
-548.224859653,199
-546.608822408,199
-513.802630515,199
-549.834356624,199
-537.842933004,199
-578.972304006,199
-459.4653205,199
-500.823918448,199
-189.511240729,125
-96.4070446846,95
-132.579634142,115
-74.1374019842,94
-133.756270034,159
-103.717428227,120
-101.147054448,111
-107.230072754,112
-71.3005248523,90
-70.2743089976,83
-70.276088406,85
-73.2555296063,104
-96.5872311509,111
-106.438553016,115
-133.265887841,159
-133.058028934,149
-113.401223996,117
-66.8062528225,83
-75.066201476,110
-137.702253642,167
-67.763179589,87
-129.914511151,168
-67.3459032808,86
-128.917469103,153
-130.711544911,151
-125.1882087,149
-129.463075318,151
-135.28535802,149
-68.6542548091,92
-70.6351533939,84
-129.632802135,164
-126.530431074,161
-72.4691896752,91
-71.0638980555,91
-134.900655744,149
-124.486947809,159
-66.8770083311,84
-69.1151354979,94
-129.330360132,146
-75.9578640236,89
-67.1960353667,85
