reward,steps
-536.268028444,199
-534.976379372,199
-549.278781296,199
-564.990128473,199
-481.131386494,199
-550.787030632,199
-557.433303031,199
-523.002796783,199
-395.123610615,197
-577.797764656,199
-416.855531507,199
-261.046673708,197
-100.329563142,114
-98.872308784,116
-67.6259500616,85
-105.080512701,120
-105.549140871,111
-102.145068653,115
-105.780093465,118
-109.672328235,119
-105.430792681,119
-105.98598752,118
-107.860209304,117
-98.2169989264,112
-96.5851305545,111
-99.9546330395,109
-119.643686478,121
-100.9587681,114
-105.514824469,119
-99.0809268647,112
-107.489556547,122
-108.604184968,121
-106.249424774,119
-96.4272722214,111
-101.084685018,117
-101.496408491,112
-109.385691748,120
-99.9012984086,113
-108.605799561,118
-100.075608399,113
-103.467332733,116
-99.3279632444,117
-96.9567122778,111
-115.567320578,120
-101.248266557,114
-105.711275983,116
-106.271594467,116
-103.501868565,116
-114.158386687,118
-106.106381059,118
