reward,steps
-526.246015637,199
-514.010138822,199
-559.816664281,199
-554.484039865,199
-579.896424316,199
-582.24522304,199
-238.816926422,154
-423.136517473,199
-443.553075571,199
-108.557627997,121
-73.9804284141,95
-71.4846298565,88
-135.329931244,168
-71.072231373,85
-70.7538613689,85
-70.0690120021,102
-132.933757482,154
-71.0685087136,86
-128.767005513,169
-130.033617999,149
-132.113987933,147
-144.687657441,151
-129.353343012,163
-129.129768514,152
-124.576549131,154
-130.381142269,147
-66.9758888297,84
-68.4658550982,93
-125.981530558,153
-133.833993892,157
-126.35968238,155
-67.0410236063,84
-136.428405436,168
-70.279145659,104
-71.593199351,87
-133.156270423,156
-129.790584826,147
-132.461504885,148
-72.5764625449,121
-68.4014624731,93
-134.298426154,146
-72.3022408794,95
-77.5429956098,96
-68.1884601845,92
-128.959981633,172
-67.7238553664,87
-128.945433914,164
-72.9289069364,91
-128.519519806,149
-125.492145964,148
