reward,steps
-518.968185064,199
-568.865582734,199
-504.200944039,199
-540.477112499,199
-572.539173909,199
-201.729558301,148
-160.031322881,126
-141.723994591,121
-107.318265421,103
-123.019324257,111
-128.424171279,156
-110.284571205,115
-112.222200669,117
-72.937310718,94
-71.9375211301,87
-99.0609121863,116
-67.0894588246,84
-70.77123023,85
-98.2691103634,112
-81.127517626,96
-129.453814422,168
-104.117942322,113
-96.2107613071,111
-133.043153965,146
-108.559530185,114
-73.6181817553,92
-67.1019955795,85
-73.0403925376,93
-104.535272282,117
-66.7935024966,83
-104.010627118,114
-98.4039214928,112
-101.512101912,111
-68.3992917337,90
-133.041808362,159
-99.6140603554,113
-97.6420989329,112
-105.340417163,118
-70.3504887947,83
-71.1907279406,87
-101.254937212,115
-102.772925117,112
-68.0366758967,89
-99.1454208152,113
-72.783185007,98
-67.4204461703,86
-125.852754446,161
-104.528308085,118
-112.034669847,120
-138.999624051,157
