reward,steps
-513.99920631,199
-559.705180764,199
-506.132707151,199
-539.695161203,199
-559.818834563,199
-309.233813505,181
-360.338212094,199
-82.6279368133,91
-93.8839099982,99
-100.094848065,113
-67.689358048,87
-140.275028611,151
-134.154599477,163
-188.778523318,175
-147.061839784,164
-96.9275445058,111
-67.3192921165,88
-113.269542238,119
-96.4021893288,111
-75.2750191213,88
-103.363924763,117
-104.945152171,118
-99.7085922151,113
-105.719798571,115
-103.553767302,120
-89.9903243238,105
-125.024769204,161
-103.577877459,113
-72.4016419787,89
-137.495113508,162
-67.8041904955,88
-109.5261664,118
-92.3038025817,107
-96.1463137146,111
-105.506257914,119
-128.702015215,153
-100.810591229,114
-135.789138661,156
-105.50370736,120
-67.5193722089,84
-101.032701716,111
-99.2256971331,113
-97.6477977445,112
-108.902923636,122
-107.917541996,118
-78.0597953254,94
-104.822535841,117
-125.053487646,157
-67.6294506899,85
-104.484348757,114
