reward,steps
-533.004366394,199
-571.100950494,199
-562.986607801,199
-520.893658184,199
-484.507630237,199
-516.271645276,199
-508.495435057,199
-365.201455096,199
-247.757037828,194
-142.441798472,152
-67.4430113347,86
-72.5316490677,92
-134.766442513,148
-70.5494606349,84
-133.301786257,172
-67.619047833,89
-128.831724903,153
-105.46337654,118
-68.9258980976,93
-67.4034895021,86
-99.485666554,113
-146.076855696,164
-97.6311822471,112
-66.8392359465,83
-70.8527247291,90
-125.92030244,150
-112.086461886,117
-67.0181252547,84
-137.165593909,167
-67.3714582642,88
-138.961745874,154
-103.489524487,116
-95.3562042762,110
-129.034148338,167
-100.863644169,114
-128.446891524,155
-130.699693593,155
-98.404543262,112
-98.6118501801,112
-67.5638328692,84
-66.8052794811,83
-67.8567371187,88
-72.2857912753,88
-104.722726807,114
-110.122230407,119
-106.972680221,115
-67.4465746521,88
-73.7755203843,85
-68.7452045608,92
-96.207009955,111
