reward,steps
-514.83438905,199
-539.629638652,199
-595.50473212,199
-521.104179047,199
-528.387691749,199
-539.576519378,199
-550.096560179,199
-554.158529588,199
-596.457838799,199
-536.588848483,199
-545.343789741,199
-543.443617321,199
-486.21203897,199
-578.60458587,199
-490.360215342,199
-475.239592201,199
-476.720297794,199
-185.098066319,135
-281.340100488,161
-458.971856753,199
-132.702290746,164
-136.053021034,162
-108.869039991,117
-70.8432932373,100
-104.66849534,113
-127.644426278,149
-125.443377175,151
-68.1497124727,91
-148.224080547,159
-133.886712975,147
-125.305419161,149
-111.801155404,113
-131.810447322,149
-67.348775766,88
-67.1226468577,85
-67.0570360889,84
-124.416475136,164
-68.1439110216,89
-137.032575593,148
-71.8658228356,92
-66.789332889,83
-132.935416302,147
-67.0421108593,84
-70.4518818024,84
-130.753713397,155
-126.301569258,147
-125.195486121,157
-106.620851546,111
-126.964864587,151
-66.8244694685,83
