reward,steps
-528.625455584,199
-547.64199621,199
-556,199
-579.282033315,199
-480.721524239,199
-585.109192789,199
-542.717729653,199
-534.162340877,199
-166.794574988,143
-68.3448952625,90
-130.045125246,124
-66.8429947528,83
-146.637193147,146
-136.659472161,156
-206.330549523,199
-67.2951518637,85
-125.361256377,146
-129.566321115,156
-96.367870196,111
-70.5493359767,84
-135.071275791,155
-104.234151758,114
-96.9843183884,111
-76.4126018157,91
-131.598080309,151
-124.509622849,145
-130.242115312,151
-129.113536212,149
-128.338917879,163
-124.856006187,147
-70.4971603314,86
-129.884048495,152
-127.250135099,150
-67.7302350132,87
-138.098275684,150
-175.890758997,156
-96.3338154247,111
-132.030383761,148
-113.943256307,119
-124.413011207,167
-71.8572526733,85
-138.667935602,157
-127.439946964,162
-73.3363622662,98
-98.7446807167,112
-128.572835484,150
-66.866994702,83
-103.98880698,113
-72.5713162072,96
-128.47501626,150
