reward,steps
-77.4488902863,199
-44.7475214605,199
-36.3287186304,199
17.897691726,199
11104.4138284,90
3810.30077106,163
1698.39127212,184
47.0061898222,199
11600.2176085,85
11793.0221757,83
10118.5743025,100
10604.0494139,95
3425.54622028,167
2682.42143496,174
32.2367643274,199
19.4077463558,199
1552.59066915,185
2461.64311311,176
313.183953475,198
2675.42981494,174
