reward,steps
-54.5589654688,199
-46,199
4435.21321007,157
11403.6070641,87
9835.77090704,103
7822.32887842,123
8308.63557651,118
2.49232951254,199
37.8745959301,199
-50.6955253806,199
-51.910838802,199
-52,199
-53.2385648159,199
-50.5874825183,199
-52,199
-52,199
-43.8026598,199
-52,199
-46,199
-43,199
