reward,steps
-78.0780310999,199
-47.7565118025,199
-93.9721278806,199
-48.723399933,199
-24.8797937307,199
-21.4669399557,199
7581.68392218,125
68.8795762705,199
58.6012457482,199
8519.34336679,116
8032.31503197,121
7927.88397558,122
8420.25186593,117
7719.43157465,124
7828.02023171,123
11403.2058857,87
8315.5405431,118
7830.62556174,123
7715.13242914,124
8012.81398286,121
