reward,steps
-540.83285293,199
-602.69450125,199
-516.682880717,199
-285.129906669,163
-510.500784701,199
-473.188274115,199
-399.756625912,199
-136.973978187,111
-172.080473638,161
-103.314083951,116
-132.434201458,152
-133.108952062,148
-116.588753798,121
-130.784694961,146
-132.199488658,150
-88.9334506002,98
-133.467099147,158
-99.9365771284,117
-128.651130449,147
-67.5693708522,85
-72.4828634694,88
-101.289385256,112
-103.013936178,117
-104.094045921,117
-106.987569804,120
-125.010149165,158
-108.147017228,118
-106.376697159,115
-76.3070305758,88
-106.913472189,119
-100.668251205,114
-103.34881271,113
-102.094062502,113
-109.863334734,120
-110.509774752,120
-103.259026032,116
-105.121739111,115
-104.140155132,119
-110.321079927,120
-68.3687190205,93
-113.359177948,119
-104.975271616,117
-125.807996983,148
-70.9077057558,108
-112.013188491,118
-100.934980874,114
-69.573775487,94
-107.867388726,117
-105.942671146,119
-139.623426764,155
