reward,steps
-509.717927333,199
-581.527359941,199
-558.578876591,199
-423.156466136,199
-551.260475749,199
-573.952874142,199
-131.042896862,118
-466.376488649,199
-334.621981502,191
-101.013986892,103
-94.343531548,99
-114.829833284,107
-114.081127322,119
-73.5749135714,103
-72.4933596024,91
-72.5134610154,99
-127.653673496,149
-150.066903608,154
-105.86801786,118
-96.9270408799,111
-69.230715096,94
-74.030915887,85
-130.710553116,153
-133.440653347,159
-109.885181412,119
-99.7071684238,113
-100.539079095,114
-73.0291687154,94
-124.457296941,146
-107.351505598,116
-108.830202405,117
-129.418652772,147
-66.947219243,84
-125.67623823,160
-78.4436991413,133
-97.8797037033,112
-128.586394184,153
-105.348932219,114
-99.3900096634,113
-103.282219242,116
-101.928714387,111
-105.039387631,118
-105.09416107,118
-106.964232699,113
-109.50202272,112
-75.2352258632,101
-103.560771861,116
-70.8110218829,85
-110.662771506,119
-96.9498229694,111
