reward,steps
-534.93512946,199
-534.006161122,199
-483.561299513,199
-471.783520917,199
-501.985192009,199
-553.745177326,199
-536.464740247,199
-521.986149463,199
-510.838765955,199
-280.931065031,173
-428.156454433,199
-144.218689912,125
-125.733614802,118
-70.9961528422,91
-133.723113363,162
-97.8489934538,112
-69.2270152969,97
-77.6140718639,103
-134.432820156,150
-102.398084686,113
-130.989812261,148
-100.38288209,109
-72.2163052911,86
-96.9754572186,111
-120.614168562,118
-70.8047913502,83
-107.420336872,116
-101.211302967,114
-128.20246616,154
-71.3980467995,84
-125.319641228,165
-103.252512497,116
-100.983401316,112
-101.945669969,116
-108.206108253,117
-101.817874275,112
-98.2448749431,112
-105.013818759,118
-105.359598618,116
-99.1384336013,113
-101.303480071,118
-106.148172995,120
-112.819431415,122
-110.955095639,121
-99.1637152694,116
-101.560462248,118
-103.612422963,118
-103.274059323,116
-102.106387089,116
-100.541727195,114
