reward,steps
-537.097554039,199
-589.60533791,199
-564.247980328,199
-474.921982457,199
-458.30889195,199
-356.897410737,187
-220.799159843,134
-146.359784751,124
-109.099568904,115
-68.0396381128,89
-68.2996332598,90
-105.534042336,119
-73.1864021083,101
-108.494702999,115
-141.930612127,147
-108.775991204,114
-69.9015399855,83
-108.803765992,117
-86.5105498441,96
-128.316550454,147
-71.2101295981,89
-76.4717314923,112
-98.1049663734,112
-70.2985038942,100
-101.612708198,111
-111.862547755,116
-99.5922693577,113
-111.386869781,120
-72.7089905146,97
-103.567848273,116
-111.395963423,116
-128.52434618,153
-106.597308365,118
-102.017383958,112
-107.359771344,114
-106.06429002,118
-104.205681178,120
-107.980086928,117
-100.994514576,114
-102.839740913,112
-96.5255215126,110
-96.9131645385,112
-119.892213772,122
-110.865508455,119
-106.989433755,117
-67.9433446663,84
-103.815078864,120
-101.669523708,112
-140.418325551,150
-97.804576649,112
