reward,steps
-533.086761745,199
-573.022450797,199
-499.499057646,199
-546.732666512,199
-450.468961154,199
-449.994337688,199
-318.291095643,183
-378.333746929,198
-278.461283845,177
-67.9548186013,84
-136.239872383,151
-151.534969932,152
-73.5207387244,91
-215.379270016,161
-70.9023112243,88
-131.157523561,146
-70.2586740942,85
-129.784934615,152
-144.261673319,154
-129.72022609,154
-144.078432291,159
-70.1036737369,102
-70.4148484619,83
-160.504842147,154
-69.726324808,100
-136.067918404,150
-78.3797910546,108
-137.604936598,152
-130.154301087,156
-232.822912273,199
-134.659060868,152
-75.6069894356,91
-128.824846159,169
-72.295065477,97
-78.9227676271,108
-128.142793111,154
-69.9150202284,95
-137.577224602,158
-73.913720611,85
-129.145915941,163
-82.1010244245,94
-140.650602755,150
-130.195993145,153
-124.699737687,148
-74.748132348,98
-130.627963216,147
-127.722746506,149
-134.398845261,153
-130.913286736,149
-68.9275724055,95
