reward
-82.0285229285
2151.36152557
7429.04290744
5695.94062734
-11.7832511911
65.0958382254
-21.4574859247
63.7851621212
-10.5861990801
3896.45351729
4173.25259509
4777.21087742
2265.10371398
9794.15823052
5469.56034398
2273.22943516
9347.37192979
4686.90634869
5540.85255596
5237.04602478
